id,yield
15289,4240.69
15290,6095.1846
15291,7214.1455
15292,4698.975
15293,3772.502
15294,5142.868
15295,7199.61
15296,6596.757
15297,8223.453
15298,4172.4194
15299,5853.9966
15300,5717.2334
15301,5395.185
15302,5779.8037
15303,4969.6763
15304,4754.655
15305,4692.479
15306,6452.31
15307,5038.371
15308,6078.256
15309,6496.8984
15310,7358.183
15311,5212.497
15312,5303.0293
15313,6544.908
15314,4928.549
15315,4351.167
15316,7974.2607
15317,5593.1016
15318,7667.3525
15319,8248.029
15320,7117.4224
15321,6827.815
15322,3246.8362
15323,5933.195
15324,2648.2966
15325,6569.4043
15326,6503.1875
15327,4162.6123
15328,7685.013
15329,7522.5894
15330,5284.1514
15331,5887.231
15332,6823.41
15333,6397.7764
15334,5554.754
15335,8097.2812
15336,4208.8906
15337,7597.4097
15338,6443.4233
15339,5558.645
15340,6874.4824
15341,5690.6753
15342,5229.171
15343,6848.233
15344,6302.2705
15345,4246.8394
15346,6306.604
15347,6397.5225
15348,5109.751
15349,6518.714
15350,4532.0103
15351,6268.6816
15352,5848.8306
15353,6918.6924
15354,4367.994
15355,4338.5645
15356,5992.9297
15357,6535.425
15358,7079.4697
15359,4862.667
15360,4275.2896
15361,5584.2593
15362,6126.8643
15363,6714.8364
15364,5019.406
15365,4397.7725
15366,4788.8687
15367,7482.6294
15368,4916.628
15369,5760.9673
15370,6491.272
15371,3096.1055
15372,4781.14
15373,6285.598
15374,5692.854
15375,5548.191
15376,6028.7676
15377,5640.864
15378,4516.9185
15379,6212.445
15380,7264.8735
15381,6345.4424
15382,5651.73
15383,7441.43
15384,5415.455
15385,3837.6487
15386,3844.3904
15387,3935.1938
15388,6795.2554
15389,6216.1416
15390,8093.17
15391,6441.357
15392,7238.998
15393,5797.022
15394,6025.1406
15395,5698.001
15396,7022.633
15397,6699.6323
15398,5748.412
15399,5731.0806
15400,4720.0664
15401,6242.413
15402,6373.163
15403,6326.6396
15404,7187.1855
15405,7262.5444
15406,8024.6455
15407,5828.395
15408,7574.794
15409,5805.3154
15410,5878.6777
15411,8261.241
15412,6543.0566
15413,6834.7104
15414,5766.1943
15415,6158.1914
15416,6938.948
15417,5926.051
15418,7451.6255
15419,4382.944
15420,3851.5679
15421,6323.4775
15422,3765.9387
15423,6580.235
15424,6367.718
15425,7037.837
15426,3718.018
15427,7631.046
15428,6411.077
15429,7249.81
15430,7038.189
15431,5579.6396
15432,5346.444
15433,4956.4346
15434,8324.167
15435,3996.6245
15436,4742.7393
15437,4856.244
15438,5594.68
15439,6824.673
15440,5650.688
15441,6797.821
15442,5386.7715
15443,4635.701
15444,5737.751
15445,3504.2036
15446,6839.561
15447,6522.1016
15448,7903.7554
15449,8220.04
15450,7204.9478
15451,5437.0864
15452,4373.3916
15453,7387.678
15454,6581.0586
15455,8331.493
15456,6559.249
15457,6594.6616
15458,5675.9487
15459,6244.815
15460,5591.598
15461,4914.561
15462,5361.68
15463,6724.883
15464,6380.7114
15465,6760.246
15466,7308.61
15467,7352.8125
15468,3455.9602
15469,2576.43
15470,7281.1064
15471,7233.426
